4;"Come si comportò il secondo figlio che aveva detto di ""si""?";Non andò a lavorare nella vigna;Andò a lavorare nella vigna;Andò in città ;;1;;;;;;;;;;;;;
5;"""Chi dei due figli ha fatto la volontà  del padre?"" chiese Gesù. Cosa gli risposero?";il secondo;nessuno dei due;il primo;;3;;;;;;;;;;;;;
6;"Dove raccontò Gesù la ""Parabola dei due figli""?";Nel Tempio di Gerusalemme;Sul monte degli Ulivi;A Nazaret;;1;;;;;;;;;;;;;Parabola delle dieci ragazze
1;Nella Parabola delle dieci ragazze Gesù raccontò di alcune giovani che erano andate incontro allo sposo recando..;delle lampade ad olio;dei fiori;delle torte;;1;;;;;;;;;;;;;
2;Quante ragazze portarono con sé anche una riserva d'olio per la propria lampada?;3;5;6;;2;;;;;;;;;;;;;
3;Quale imprevito caratterizzo l'attesa delle dieci ragazze?;Si mise a piovere;Si alzòun forte vento;Lo sposo tardò ad arrivare;;3;;;;;;;;;;;;;
4;Quale inconveniente comportò il ritardo dello sposo?;Le ragazze si stancarono di aspettare e se ne andarono;Gli invitati si addormentarono ed arrivarono in ritardo;L'olio nelle lampade siconsumò e solole ragazze con lariserva d'olio poterono accenderle;;3;;;;;;;;;;;;;
5;Cosa successe quando arrivò lo sposo?;Ci fu un grande applauso;Solamente le cinque ragazze con le lampade accese entrarono nella sala del banchetto;Le dieci ragazze si misero a ballare dalla gioia;Le dieci ragazze entrarono nella sala delbanchetto;2;;;;;;;;;;;;;
6;Cosa disse lo sposo alle ragazze che giunsero in ritardo al banchetto perché erano andate a cercare altro olio per le lampade?;La festa  è già  finita ;Non so chi siete;Non c'è più posto;;2;;;;;;;;;;;;;
7;"Cosa significa la frase con cui Gesù concluse la parabola: ""State svegli,dunque,perché non sapete nèil giorno né l'ora""?  ";Non bisogna arrivare in ritardo ad un matrimonio;Chi tardi arriva male alloggia;L'ora del giudiziodivino nessuno loconosce. Occorre quindi essere sempre pronti all'incontroultimo con Dio;;3;;;;;;;;;;;;;
1;Com'è anche conosciuta la parabola delle monete d'oro?;Parabola dei talenti;Parabola del tesoro nascosto;Parabola del servo crudele;;1;;;;;;;;;;;;;
2;Cosa diede ai propri servi un uomo prima di affrontare un lungo viaggio?;Cento pecore;Delle monete d'oro;I terreni che possedeva;;2;;;;;;;;;;;;;
3;Che cosa fecero i primi due servi con il denaro ricevuto?;Spesero il denaro al bar;Regalarono i soldi ai poveri;Investirono il denaro in un affare;;3;;;;;;;;;;;;;
4;Che cosa fece dei soldi ricevuti il terzo servo?;Nascose i soldi un una buca;Comprò una casa;Imprestò i soldi ad un amico;;1;;;;;;;;;;;;;
5;Come si comportò il padrone nei confronti dei servi che avevano fatto fruttificare i soldi?;Li fece mettere in prigione;Li lodò e diede loro incarichi importanti;Non li ringraziò neppure;;2;;;;;;;;;;;;;
6;Come si comportò ilpadrone con il servo che non aveva fatto fruttificare i soldi?;Lo lodòper la sua prudenza;Lo sgridò e lo fece cacciare fuori dalla casa;;;2;;;;;;;;;;;;;
1;Nella  Parabola del buon Samaritano Gesù raccontò di un uomo che da Gerusalemme andava versoâ€_;Gerico;Nazaret;Samaria;;1;;;;;;;;;;;;;
2;Lungo il viaggio l'uomo incontrò dei..;soldati;briganti;turisti;;2;;;;;;;;;;;;;
3;Quante persone passarono vicino all'uomo ferito dai briganti?;6;2;3;;3;;;;;;;;;;;;;
4;Come si comportò la terza persona che passò vicino all'uomo ferito?;Si fermò e lo soccorse;Fece finta di non vederlo;Attese che passasse qualcun altro per soccorrerlo;;1;;;;;;;;;;;;;
5;Da quale regione proveniva l'uomo che soccorse il ferito?;Dalla Giudea;Dalla Samaria;Dalla Galilea;;2;;;;;;;;;;;;;
6;Con che cosa curò il Samaritano le ferite dell'uomo?;Acqua e aceto;Succo d'arancia;Olio e vino;;3;;;;;;;;;;;;;
7;Il Samaritano dove portò l'uomo ferito per curarlo meglio?;Ad una locanda;A casa sua;All'ospedale;;1;;;;;;;;;;;;;
8;Che cosa disse,prima di riprendere il viaggio, il Samaritano all'albergatore?;Chiama un'ambulanza;Abbi cura di lui e anche se spenderai di più paghero io quando ritorno;Fatti pagare da lui;;2;;;;;;;;;;;;;
9;"Chi dei tre uomini si è comportato come ""prossimo"" per l'uomo ferito?";Il primo;il secondo;Quello che ha avuto compassione di lui;;3;;;;;;;;;;;;;
1;Un giorno un uomo andò per raccogliere dei fichi da un albero che aveva piantato ma..;non ne trovò;l'albero era stato tagliato;l'albero era morto;;1;;;;;;;;;;;;;
2;Cosa disse al contadino il proprietario dell'albero?;Metti piùconcime;Taglialo;Hanno rubato i fichi!;;2;;;;;;;;;;;;;
3;Cosa rispose ilcontadino?;Provo a bagnare ancora;Voglio zappare bene la terra attorno all'albero e metterci del concime. Se il prossimo anno, non farà  frutti,lo farai tagliare;Lo taglio subito;;2;;;;;;;;;;;;;
1;"Nella ""Parabola del padre misericordioso"" Gesù racconta di un uomoche aveva dei figli. Quanti erano?";2;3;7;;1;;;;;;;;;;;;;
2;Quale figlio chiese al padre la sua parte di eredità ?;il più vecchio;il più giovane;;;2;;;;;;;;;;;;;
3;Cosa fece il figlio più giovane con l'eredità ?;Condusse una vita disordinata spendendo tutti i soldi;Diede i soldi ai poveri;Si comprò un castello;;1;;;;;;;;;;;;;
4;Cosa fece il figlio più giovane quando rimase senza soldi?;il falegname;il guardiano dei maiali;il lavapiatti;;2;;;;;;;;;;;;;
5;Qale decisione prese,infine,il figlio più giovane?;Decise di ritornare dal padre, chiedendo di essere trattato come uno dei dipendenti;Decise di andare all'estero;Decise di rubare un maiale;;1;;;;;;;;;;;;;
6;Cosa fece il padre quando vide il figlio più giovane ritornare a casa?;Lo prtese a bastonate;Fece finta di non vederlo;Gli corse incontro, lo abbracciò e lo baciò;;3;;;;;;;;;;;;;
7;Cosa disse il padre ai servi dopo il ritorno del figlio?;Trattatelo come uno di voi;Dobbiamo festeggiare con un banchetto il suo ritorno;Fate finta di nulla;;2;;;;;;;;;;;;;
8;Cosa rispose il padre al figlio più vecchio che non condivideva la festa per il fratello?;A casa mia faccio quello che voglio;Non sei obbligato a venire alla festa;Io non potevo non essere contento e non far festa, perché questo tuo fratelloera per me come morto e ora è tornato in vita, era  e ora l'ho ritrovato;;3;;;;;;;;;;;;;
1;In quale città  della Galilea Gesù partecipò ad un banchetto di nozze?;Nazaret;Cana;Betsaida;;2;;;;;;;;;;;;;
2;Chi c'era insieme a Gesù e ai discepoli al banchetto di nozze?;Maria,la madre di Gesù;Giuseppe;Giovanni il Battista;;1;;;;;;;;;;;;;
3;Quale bevanda venne a mancare durante il banchetto?;Acqua e aceto;birra;vino;;3;;;;;;;;;;;;;
4;"Chi disse a Gesù:""Non hanno più vino""?";Pietro;Maria,la madre di Gesù;Il capotavola;lo sposo;2;;;;;;;;;;;;;
5;"Chi disse ai servi:""Fate quello che vi dirà ""?";lo sposo;la sposa;la madre di Gesù;;3;;;;;;;;;;;;;
6;Quanti recipienti di pietra, di circa cento litri ciascuno, c'erano li' vicino?;6;8;12;;1;;;;;;;;;;;;;
7;Cosa disse Gesù ai servi indicando i recipienti di pietra?;Riempiteli d'acqua;Riempiteli di vino;Portateli all'osteria;;1;;;;;;;;;;;;;
8;A chi disse, Gesù,di portare ad assaggiare l'acqua tramutata in vino?;allo sposo;alla madre di Gesù;al capotavola;;3;;;;;;;;;;;;;
9;"Chi disse allo sposo:""Tu hai conservato il vino buono fino a questo momento""?";Pietro;il capotavola;il servo;;2;;;;;;;;;;;;;
1;In quale città  Gesù guari' un paralitico?;Cafarnao;Betlemme;;;1;;;;;;;;;;;;;
2;Per quale motivo,coloro che trasportavani il paralitico su una barella, non riuscivano ad avvicinarsi a Gesù?;Perché c'era tanta gente;Perché Gesù si spostava;Perché Gesù li allontanava;;1;;;;;;;;;;;;;
3;Cosa pensarono di fare per avvicinare il paralitico a Gesù?;Lo dissero a Pietro;Chiamarono a voce alta Gesù;Scoperchiarono il tetto della casa dove si trovava Gesù e calarono la barella con  il  paralitico;;3;;;;;;;;;;;;;
4;Che cosa disse Gesù quando vide in quale modo il paralitico era giunto vicino a lui?;Figlio mio i tuoi peccati sono perdonati;Alzati,sei guarito;;;1;;;;;;;;;;;;;
5;Cosa pensarono alcuni maestri della legge sentendo le parole di Gesù?;Costui è il messia;Solamente Dio può perdonare i peccati;;;2;;;;;;;;;;;;;
6;Dopo aver risposto ai maestri della legge, Gesù si voltò verso il paralitico e gli disse..;Fatti portare in ospedale;Non hai creduto in me;Alzati,prendi la tua barella e và  a casa;;3;;;;;;;;;;;;;
1;Come si chiamava il capo della sinagoga che chiese a Gesù di guarire la figlia in fin di vita?;Giairo;Iafet;Natanaele;;1;;;;;;;;;;;;;
2;Arrivato alla casa di Giairo,Gesù vide della gente che piangeva perché..;la bambina stava male;era felice di vedere Gesù;la bambina era morta;;3;;;;;;;;;;;;;
3;"Come reagi' la gente quando Gesù disse:""La bambina non è morta,dorme""?";Risero di Gesù;Gli credettero;Lo cacciarono via;;1;;;;;;;;;;;;;
4;Quali discepoli avevano accompagnato Gesù da Giairo?;Pietro,Giacomo e Giovanni;Andrea,Filippo e Giuda;Tommaso,Andrea e Mattia;;1;;;;;;;;;;;;;
5;"Gesù disse alla figlia di Giairo:""Fanciulla,alzati!"".E questa..";rimase caricata;si alzò e si mise a camminare;scoppiò a piangere;non capi';2;;;;;;;;;;;;;
6;Quanti anni aveva la figlia di Giairo quando Gesù la riportò in vita?;sei;nove;dodici;;3;;;;;;;;;;;;;
1;Quando venne sera  gli apostoli vedendo la folla che aveva seguito Gesù,gli dissero..;lascia andare la gente,in modo che possa comprarsi da mangiare nei villaggi;mandiamoli alristorante;;;1;;;;;;;;;;;;;
2;Alla richiesta degli apostoli di lasciar andare via la gente,perché potesse comprare da mangiare,Gesù rispose..;fate come volete;date voi qualcosa da mangiare a questa gente;;;2;;;;;;;;;;;;;
3;Andrea vide un ragazzo che aveva con sé del cibo.Quale?;Pagnotte e pesci;Polli e patate;;;1;;;;;;;;;;;;;
4;Quante pagnotte aveva il ragazzo con sé?;5;12;2;;1;;;;;;;;;;;;;
5;Quanti pesci aveva con sé il ragazzo;5;2;7;12;2;;;;;;;;;;;;;
6;Gesù prese i cinque pani e i due pesci e disse..;che erano pochi;di andare via;la preghiera di benedizione;distribuiteli ai bambini;2;;;;;;;;;;;;;
7;Che cosa fece Gesù dopo la preghiera di benedizione?;Cominciò a spezzare i pani e a darli ai discepoli perché li distribuissero;si alzò e se ne andò;si mise a cantare;;1;;;;;;;;;;;;;
8;Quante ceste si riempirono con ciò che era rimasto dei pani e dei pesci,dopo che tutti ebberomangiato?;5;12;8;;2;;;;;;;;;;;;;
9;Quante erano le persone che mangiarono in quell'occasione?;circa mille;circa cinquecento;circa cinquemila;;2;;;;;;;;;;;;;
1;Che cosa fecero gli apostoli quando videro Gesù camminare sul lago?;Si spaventarono;gridarono di entusiasmo;rimasero indifferenti;;1;;;;;;;;;;;;;
2;Gli apostoli vedendo Gesù caminare sull'acqua dissero..;è proprio bravo;è un fantasma;ci deve essere un trucco;;2;;;;;;;;;;;;;
3;"Chi degli apostoli disse:""Signore, se sei tu,dimmi di venire verso di te,sull'acqua""?";Tommaso;Andrea,Filippo e Giuda;Pietro;;3;;;;;;;;;;;;;
4;Pietro su invito di Gesù,scese dalla barca e cominciò..;ad affondare;a nuotare;a camminare sull'acqua verso Gesù;;3;;;;;;;;;;;;;
5;Vedendo la forza del vento, Pietro ebbe paura,cominciò ad affondare e gridòâ€_;Signore,salvami!!;Chi me lo ha fatto fare?;Non lo farò più!!;;1;;;;;;;;;;;;;
6;"Chi disse a Pietro,afferrandolo con la mano:""Uomo di poca fede,perché hai dubitato?""";Un apostolo;Gesù;L'angelo Gabriele;;2;;;;;;;;;;;;;
1;Da quale città  stava uscendo Gesù quando incontrò un mendicante cieco?;Gerico;Cafarnao;Nazaret;;1;;;;;;;;;;;;;
2;Come si chiamava il mendicante cieco?;Simone;Bartimeo;Lazzaro;;2;;;;;;;;;;;;;
3;Cosa gridò il mendicante cieco sentendo passare Gesù?;Gesù,donami la vista;Gesù sono un povero cieco;Gesù,figlio di Davide, abbi pietà  di me!;;3;;;;;;;;;;;;;
4;Che cosa fecero le persone vicine al cieco Bartimeo?;lo sgridarono per farlo tacere;lo trascinarono via;;;1;;;;;;;;;;;;;
5;Che cosa fece Bartimeo quando Gesù si fermò per parlargli?;scappò impaurito;recuperò subito la vista;buttò via il mantello,balzò in piedi e andò vicino a Gesù;;3;;;;;;;;;;;;;
6;Che cosa chiese Gesù a Bartimeo?;Cosa ti ha detto il dottore?;Che cosa vuoi che io faccia per te?;Perché continui a gridare?;;2;;;;;;;;;;;;;
7;Che cosa rispose Bartimeo a Gesù?;Maestro,voglio venire con te;Maestro,fa che io possa vedere di nuovo;Maestro,parlami di Dio;;2;;;;;;;;;;;;;
8;Che cosa rispose Gesù alla richiesta di Bartimeo di vederci nuovamente ?;Attendi ancora un poâ€™;ti guarirò un'altra volta;Vai,la tua fede ti ha salvata;;3;;;;;;;;;;;;;
9;Che cosa fece Bartimeo dopo aver recuperato la vista?;si mise a seguire Gesù lungo la via;pagò da bere a tutti;divenne uno degli apostoli;;1;;;;;;;;;;;;;
1;Una sera Gesù si trovava in barca con i discepoli quando rischiarono di affondare per..;uno scoglio sommerso;il carico eccessivo;una forte tempesta;;3;;;;;;;;;;;;;
2;Cosa stava facendo Gesù mentre si scatenava la tempesta?;dormiva;leggeva;pregava;;1;;;;;;;;;;;;;
3;Cosa successe dopo che Gesù ebbe ordinato al vento e alle onde del lago di calmarsi?;labarca affondò;il vento si fermò e ci fu una grande calma;la tempesta continuò;;2;;;;;;;;;;;;;
1;Chi fece avvisare Gesù che il suo amico Lazzaro era ammalato?;Lamadre di Gesù;le sorelle di Lazzaro;Ponzio Pilato;;2;;;;;;;;;;;;;
2;Come si chiamavano le sorelle di Lazzaro?;Sara e Rebecca;Maria e Marta;Lidia e Magdala;Anna e Giuditta;2;;;;;;;;;;;;;
3;In quale villaggio abitava Lazzaro con le sorelle?;Betania ;Betlemme;Gerico;;1;;;;;;;;;;;;;
4;Da quanti giorni Lazzaro era stato portato nella tomba quando arrivò Gesù?;tre;quattro;sei;;2;;;;;;;;;;;;;
5;Quale delle sorelle di Lazzaro andò per prima incontro a Gesù?;Marta;Maria;;;1;;;;;;;;;;;;;
6;Che cosa disse Maria a Gesù?;Lazzaro ti avrebbe salutato volentieri;Riporta in vita mio fratello;Signore,se tu eri qui,mio fratello non moriva;Lazzaro ti voleva bene;3;;;;;;;;;;;;;
7;Cosa disse Gesù quando arrivò dinanzi la tomba di Lazzaro?;Lasciatemi solo;Togliete la pietra;Non c'è più niente da fare;;2;;;;;;;;;;;;;
8;Dopo che la pietra della tomba era stata spostata, Gesù alzò lo sguardo al cielo e disse..;Padre ti ringrazio perché mi hai ascoltato;Guardate,Lazzaro è vivo!;;;1;;;;;;;;;;;;;
9;"Cosa successe dopo che Gesù ebbe chiamato con voce forte:""Lazzaro, vieni fuori!""?";un angelo apparve vicino allatomba;Lazzaro usci' dalla tomba;;;2;;;;;;;;;;;;;
1;Un giorno,in un villaggio,vennero incontro a Gesù dei lebbrosi. Quanti erano?;Sette;dieci;trentatrè;;2;;;;;;;;;;;;;
2;Cosa dissero i lebbrosi a Gesù?;Gesù,Signore,abbi pietà  di noi;Gesù,abbiamo fame;Sei tu il Messia?;;1;;;;;;;;;;;;;
3;"Gesù disse ai lebbrosi:""Andate dai sacerdoti e presentatevi a loro!"". Quelli andarono e mentre camminavano..";Sbagliarono strada;Trovarono dei soldi;Furono tutti guariti;;3;;;;;;;;;;;;;
4;Cosa gece uno dei lebbrosi appena si accorse di essere guarito?;lo disse agli altri;tornò da Gesù e lodava Dio con tutta la voce che aveva;si mise a ballare dalla gioia;;2;;;;;;;;;;;;;
5;Di quale regione era il lebbroso che tornò indietro da Gesù?;Samaria;Galilea ;Giudea;;1;;;;;;;;;;;;;
6;Che cosa disse Gesù al lebbroso guarito che si era gettato ai suoi piedi per ringraziarlo?;vai a chiamare glia ltri;è solo una coincidenza;alzati e và !La tua fede ti ha salvata!;;3;;;;;;;;;;;;;
